,FTSEMIB payout,HSCEI payout,NDX payout,Triggered,Above Strike Lvl,, FTSEMIB payout (USD)  , HSCEI payout (USD) , NDX payout (USD) ,, AveragePayout Sum (USD) ,, Average Payout 
0,9646.232684,4505.185704,3597.080411,0,0,," $ 10,755.08 ", $ 579.37 ," $ 3,597.08 ",," $ 14,931.53 ",," $ 19,132.99 "
1,11004.1442,5139.385994,4103.445651,0,0,," $ 12,269.09 ", $ 660.93 ," $ 4,103.45 ",," $ 17,033.46 ",,
2,5926.261529,2767.806831,2209.903074,0,0,," $ 6,607.49 ", $ 355.94 ," $ 2,209.90 ",," $ 9,173.34 ",, Median Payout 
3,10878.11818,5080.526682,4056.450545,0,0,," $ 12,128.57 ", $ 653.36 ," $ 4,056.45 ",," $ 16,838.38 ",," $ 16,798.90 "
4,15552.79803,7263.793613,5799.638779,0,0,," $ 17,340.62 ", $ 934.12 ," $ 5,799.64 ",," $ 24,074.38 ",,
5,9936.437101,4640.723052,3705.297646,0,0,," $ 11,078.65 ", $ 596.80 ," $ 3,705.30 ",," $ 15,380.74 ",, Standard Deviation 
6,12444.71682,5812.192403,4640.635217,0,0,," $ 13,875.26 ", $ 747.45 ," $ 4,640.64 ",," $ 19,263.34 ",," $ 8,464.76 "
7,10945.39063,5111.945671,4081.536443,0,0,," $ 12,203.58 ", $ 657.40 ," $ 4,081.54 ",," $ 16,942.51 ",,
8,9314.580561,4350.290581,3473.407326,0,0,," $ 10,385.31 ", $ 559.45 ," $ 3,473.41 ",," $ 14,418.16 ",,
9,7208.854177,3366.830124,2688.181904,0,0,," $ 8,037.52 ", $ 432.97 ," $ 2,688.18 ",," $ 11,158.68 ",,
10,12586.94074,5878.616797,4693.67052,0,0,," $ 14,033.83 ", $ 755.99 ," $ 4,693.67 ",," $ 19,483.49 ",,
11,9468.00607,4421.946576,3530.619702,0,0,," $ 10,556.37 ", $ 568.66 ," $ 3,530.62 ",," $ 14,655.65 ",,
12,8611.93371,4022.125726,3211.390298,0,0,," $ 9,601.89 ", $ 517.25 ," $ 3,211.39 ",," $ 13,330.52 ",,
13,8694.004185,4060.455998,3241.99438,0,0,," $ 9,693.39 ", $ 522.17 ," $ 3,241.99 ",," $ 13,457.56 ",,
14,11878.0256,5547.524394,4429.316046,0,0,," $ 13,243.42 ", $ 713.41 ," $ 4,429.32 ",," $ 18,386.15 ",,
15,11480.83407,5362.019686,4281.203316,0,0,," $ 12,800.57 ", $ 689.56 ," $ 4,281.20 ",," $ 17,771.33 ",,
16,10679.70008,4987.857303,3982.46043,0,0,," $ 11,907.35 ", $ 641.44 ," $ 3,982.46 ",," $ 16,531.25 ",,
17,10466.2383,4888.161907,3902.860525,0,0,," $ 11,669.35 ", $ 628.62 ," $ 3,902.86 ",," $ 16,200.83 ",,
18,12515.34707,5845.179622,4666.973238,0,0,," $ 13,954.00 ", $ 751.69 ," $ 4,666.97 ",," $ 19,372.67 ",,
19,11770.39371,5497.255892,4389.180109,0,0,," $ 13,123.42 ", $ 706.95 ," $ 4,389.18 ",," $ 18,219.55 ",,
20,7930.997609,3704.10068,2957.469208,0,0,," $ 8,842.68 ", $ 476.35 ," $ 2,957.47 ",," $ 12,276.49 ",,
21,8868.053558,4141.744184,3306.897395,0,0,," $ 9,887.45 ", $ 532.63 ," $ 3,306.90 ",," $ 13,726.98 ",,
